+====================+===================+====================================================+
| Launch Setup Clock | Launch Hold Clock | Pin                                                |
| ext_pll_in         | ext_pll_in        | cpu/ex_stage/iv_rs1_reg[14]/D                      |
| ext_pll_in         | ext_pll_in        | cpu/ex_stage/iv_rs2_reg[25]/D                      |
| ext_pll_in         | ext_pll_in        | cpu/ex_stage/iv_rs2_reg[1]/D                       |
| ext_pll_in         | ext_pll_in        | cpu/ex_stage/iv_rs2_reg[21]/D                      |
| ext_pll_in         | ext_pll_in        | cpu/ex_stage/iv_rs2_reg[13]/D                      |
| ext_pll_in         | ext_pll_in        | cpu/ex_stage/iv_rs2_reg[6]/D                       |
| ext_pll_in         | ext_pll_in        | cpu/ex_stage/iv_rs2_reg[19]/D                      |
| ext_pll_in         | ext_pll_in        | cpu/ex_stage/iv_rs1_reg[4]/D                       |
| ext_pll_in         | ext_pll_in        | cpu/ex_stage/iv_rs1_reg[10]/D                      |
| ext_pll_in         | ext_pll_in        | cpu/ex_stage/iv_rs2_reg[27]/D                      |
| ext_pll_in         | ext_pll_in        | cpu/ex_stage/iv_rs1_reg[9]/D                       |
| ext_pll_in         | ext_pll_in        | cpu/ex_stage/iv_rs1_reg[16]/D                      |
| ext_pll_in         | ext_pll_in        | cpu/ex_stage/iv_rs1_reg[27]/D                      |
| ext_pll_in         | ext_pll_in        | cpu/ex_stage/iv_rs2_reg[11]/D                      |
| ext_pll_in         | ext_pll_in        | cpu/ex_stage/iv_rs1_reg[28]/D                      |
| ext_pll_in         | ext_pll_in        | cpu/ex_stage/iv_rs1_reg[20]/D                      |
| ext_pll_in         | ext_pll_in        | cpu/ex_stage/iv_rs2_reg[18]/D                      |
| ext_pll_in         | ext_pll_in        | cpu/ex_stage/iv_rs2_reg[26]/D                      |
| ext_pll_in         | ext_pll_in        | cpu/ex_stage/iv_rs2_reg[9]/D                       |
| ext_pll_in         | ext_pll_in        | cpu/instruction_fetch_unit/o_pc_reg[9]/D           |
| ext_pll_in         | ext_pll_in        | cpu/ex_stage/iv_rs2_reg[7]/D                       |
| ext_pll_in         | ext_pll_in        | cpu/ex_stage/iv_rs2_reg[15]/D                      |
| ext_pll_in         | ext_pll_in        | cpu/instruction_fetch_unit/o_pc_reg[5]/D           |
| ext_pll_in         | ext_pll_in        | cpu/instruction_fetch_unit/o_pc_reg[8]/D           |
| ext_pll_in         | ext_pll_in        | cpu/ex_stage/iv_rs2_reg[8]/D                       |
| ext_pll_in         | ext_pll_in        | cpu/instruction_fetch_unit/o_pc_reg[10]/D          |
| ext_pll_in         | ext_pll_in        | cpu/instruction_fetch_unit/o_pc_reg[3]/D           |
| ext_pll_in         | ext_pll_in        | cpu/memory_unit/iv_data_in_reg[9]/D                |
| ext_pll_in         | ext_pll_in        | cpu/ex_stage/iv_rs1_reg[11]/D                      |
| ext_pll_in         | ext_pll_in        | cpu/ex_stage/iv_rs2_reg[28]/D                      |
| ext_pll_in         | ext_pll_in        | cpu/memory_unit/iv_data_in_reg[6]/D                |
| ext_pll_in         | ext_pll_in        | cpu/instruction_fetch_unit/o_pc_reg[4]/D           |
| ext_pll_in         | ext_pll_in        | cpu/instruction_fetch_unit/o_pc_reg[6]/D           |
| ext_pll_in         | ext_pll_in        | cpu/ex_stage/iv_rs2_reg[29]/D                      |
| ext_pll_in         | ext_pll_in        | cpu/ex_stage/iv_rs1_reg[25]/D                      |
| ext_pll_in         | ext_pll_in        | cpu/ex_stage/iv_rs1_reg[31]/D                      |
| ext_pll_in         | ext_pll_in        | cpu/memory_unit/iv_data_in_reg[7]/D                |
| ext_pll_in         | ext_pll_in        | cpu/instruction_fetch_unit/o_pc_reg[1]/D           |
| ext_pll_in         | ext_pll_in        | cpu/memory_unit/iv_data_in_reg[8]/D                |
| ext_pll_in         | ext_pll_in        | cpu/ex_stage/iv_rs2_reg[24]/D                      |
| ext_pll_in         | ext_pll_in        | cpu/memory_unit/iv_data_in_reg[18]/D               |
| ext_pll_in         | ext_pll_in        | cpu/instruction_fetch_unit/o_pc_reg[2]/D           |
| ext_pll_in         | ext_pll_in        | cpu/memory_unit/iv_data_in_reg[16]/D               |
| ext_pll_in         | ext_pll_in        | cpu/ex_stage/iv_rs2_reg[0]/D                       |
| ext_pll_in         | ext_pll_in        | cpu/memory_unit/iv_data_in_reg[12]/D               |
| ext_pll_in         | ext_pll_in        | cpu/ex_stage/iv_rs2_reg[31]/D                      |
+--------------------+-------------------+----------------------------------------------------+
